Invoice Number,Type,Product Code,Product Name,Description,Quantity,Unit Price,Subtotal,Total,Taxes
INV/2026/00076,product,,,"Pago fraccionado mensual correspondiente a los siguientes servicios:
* Adecuación a la LSSI-CE
* Mantenimiento experto en LSSI-CE",1.00,12.48,12.48,15.10,21% S
INV/2026/00077,product,,,"Pago fraccionado mensual correspondiente a los siguientes servicios:
* Análisis, desarrollo y puesta en marcha del Protocolo de acoso laboral,
sexual y por razón de sexo.
* Mantenimiento experto en el Protocolo de acoso laboral,
sexual y por razón de sexo.",1.00,28.66,28.66,34.68,21% S
INV/2026/00078,product,,,"Pago fraccionado mensual correspondiente a los siguientes servicios:
* Adecuación al RGPD-LOPDGDD
* Mantenimiento experto en RGPD-LOPDGDD
* Adecuación a la LSSI-CE
* Mantenimiento experto en LSSI-CE",1.00,40.52,40.52,49.03,21% S
INV/2026/00079,product,,,"Cuota mensual relativos a los servicios de:
* Adecuación al RGPD y a la LOPDGDD
* Mantenimiento experto en RGPD y a la LOPDGDD",1.00,60.94,60.94,73.74,21% S
INV/2026/00080,product,,,"Cuota mensual relativos a los servicios de:
* Adecuación a la LSSI-CE
* Mantenimiento experto en LSSI-CE",1.00,15.32,15.32,18.54,21% S
INV/2026/00081,product,,,"Pago fraccionado mensual correspondiente a los siguientes servicios:
* Adecuación al RGPD-LOPDGDD
* Mantenimiento experto en RGPD-LOPDGDD
* Adecuación a la LSSI-CE
* Mantenimiento experto en LSSI-CE",1.00,38.39,38.39,46.45,21% S
INV/2026/00082,product,,,"Cuota mensual relativos a los servicios de:
* Adecuación al RGPD y a la LOPDGDD
* Mantenimiento experto en el RGPD y en la LOPDGDD",1.00,39.42,39.42,47.70,21% S
INV/2026/00083,product,,,"Pago fraccionado mensual correspondiente a los siguientes servicios:
* Adecuación al RGPD-LOPDGDD
* Mantenimiento experto en RGPD-LOPDGDD
* Adecuación a la LSSI-CE
* Mantenimiento experto en LSSI-CE",1.00,40.71,40.71,49.26,21% S
INV/2026/00084,product,,,"Cuota mensual relativos a los servicios de:
* Adecuación al RGPD y a la LOPDGDD
* Mantenimiento experto en RGPD y a la LOPDGDD",1.00,19.48,19.48,23.57,21% S
INV/2026/00085,product,,,"Pago fraccionado mensual correspondiente a los siguientes servicios:
* Adecuación al RGPD-LOPDGDD
* Mantenimiento experto en RGPD-LOPDGDD",1.00,32.28,32.28,39.06,21% S
INV/2026/00086,product,,,"Pago fraccionado trimestral correspondiente a los siguientes servicios:
* Adecuación al RGPD-LOPDGDD
* Mantenimiento experto en RGPD-LOPDGDD
* Adecuación a la LSSI-CE
* Mantenimiento experto en LSSI-CE",1.00,209.44,209.44,253.42,21% S
INV/2026/00087,product,,,"Pago fraccionado mensual correspondiente a los siguientes servicios:
* Auditoría Informática de cumplimiento de la Directiva (UE) 2019/882 y su transposición en España mediante la Ley 11/2023",1.00,33.00,33.00,39.93,21% S
INV/2026/00088,product,,,"Cuota mensual de mantenimiento integral sobre el
Reglamento General de Protección de Datos",1.00,41.69,41.69,50.44,21% S
INV/2026/00089,product,,,"Pago fraccionado mensual correspondiente a los siguientes servicios:
* Adecuación al LSSI-CE
* Mantenimiento experto en LSSI-CE",1.00,15.80,15.80,19.12,21% S
